Question,Tag
I ve successfully created and installed a loadable kernel module for my development phone Does anyone know how to make a status bar notification to the user i e Notification NotificationManager from the kernel I understand how to create a service and use Notification NotificationManager to generate a status bar notification But how do you make a notification when the event is in the kernel I m having a problem bridging the gap A similar functionality I m trying to achieve is like connecting to the phone via USB When the phone detects a USB connection a status bar notification is produced and if debugging is enabled it will tell you that too How is this done At some point the kernel sends a signal but how is the notification generated The approach I m going to try and implement is using the NDK Create a library that listens waits for a signal from my LKM then use then create an app that s just a background service that notifies when the signal is received Is there a more elegant solution for this And I d like to not have to recompile the AOSP Thanks,source
Hi folks I have a iPhone 3GS at 4 2 1 and want to upgrade it to 4 3 x for testing I have read some articles about it but it seems that those are too old and cannot work Does anyone have some experience in doing this or does apple provide tutorials for developers in this A lot of thanks,3
Iâ m using the a service layer with a ModelStateWrapper as shown here Whatâ s he proper way to control the error keys to use when validating in the service layer so they correspond to the input names in my views e g I have the following ViewModel for a customer public class CustomerViewModel public string Name get set â And the following ViewModel for some use caseâ s View the user can create two customers on the fly in this use case by entering their names public class SomeOtherUseCaseViewModel public CustomerViewModel BuyingCustomer get set public CustomerViewModel SellingCustomer get set â Which I use in the View like this lt â gt lt Html EditorFor model gt model BuyingCustomer Name gt lt Html ValidationMessageFor model gt model BuyingCustomer Name gt lt â gt lt Html EditorFor model gt model SellingCustomer Name gt lt Html ValidationMessageFor model gt model SellingCustomer Name gt In my customer service Iâ ve the following validation method which gets called when creating the customer note that this is a different Customer class this is a domain class public bool ValidateCustomer Customer customer Check if there is another customer with the same name if â _validationDictionary addError â Nameâ â There is another customer with the same nameâ the _validationDictionary holds the ModelStateWrapper return false Do you see my problem Depending on the View the error should be added with the key â BuyingCustomer Nameâ or â SellingCustomer Nameâ or eventually there will be two errors one with each key instead of just â Nameâ otherwise the framework wonâ t properly highlight the fields and show the errors What is the proper way to solve this situation neatly I don t want to pass the error key prefix to the service layer because that s a UI concern and not a service layer concern right,modelstate
I hate to admit it but I don t know how to begin solving this problem Let f in L 1 mathbb R Let displaystyle f_n x frac f nx n n geqslant 1 Then displaystyle lim_ n to infty f_n x 0 for almost every x in mathbb R Please this is not a home problem so hints and full solutions will be very much appreciated,theory
I recently started using Firefox as my primary web browser and I would like to change some of the default keyboard shortcuts especially the ones used to switch between tabs Can this be done I took a peek through the Firefox directory in Application Support as well as the application bundle itself but nothing jumped out Google searches have also proved fruitless Any help is appreciated Update I m running Firefox version 3 6 for Mac OS 10 6 2,customization
I am trying to play an RTSP stream on a Win form application on a 64 bit windows machine I have added the VLC player as a COM component But when i even try to play a stored video file it does not play axVLCPlugin1 addTarget C wildlife wmv null AXVLC VLCPlaylistMode VLCPlayListReplaceAndGo 0 axVLCPlugin1 play Am I missing anything,plugins
Please give me the simplest way to read or modify the XML file data Currently I tried this but it throws an exception My current code is XmlDocument xml new XmlDocument xml Load server xml XmlNodeList serverlist xml SelectNodes server foreach XmlNode servernodes in serverlist string server_address servernodes SelectSingleNode addresh InnerText string server_uname servernodes SelectSingleNode username InnerText string server_psw servernodes SelectSingleNode password InnerText my XML is below lt xml version 1 0 gt lt server gt lt addresh gt localhost lt addresh gt lt username gt myuser lt username gt lt password gt mypassword lt password gt lt server gt and Exception is NullReference Exception Object reference not set to an instance of an object What should i do,handling
I m trying to create a new member on my website using the System Web Profile class I keep getting the exception No member with username xxxxxxx exists How can I structure the code SO I don t receive this exception Thanks in advance public static MemberProfile GetUserProfile return Create Membership GetUser UserName as MemberProfile snippet from the OnCreatingUser eventmyproject Members MemberProfile mp myproject Members MemberProfile GetUserProfile strUserName if mp null mp AuthGuid newUserGuid mp secretQuestion DropDownList cuw CreateUserStep ContentTemplateContainer FindControl Question Text mp secretAnswer TextBox cuw CreateUserStep ContentTemplateContainer FindControl Answer Text mp isLocked true mp isApproved false mp Save Roles AddUserToRole strUserName Retail,profiles
I stepped over the following tutorial http afana me post create wizard in aspnet mvc 3 aspxSince it looks pretty nice I m asking myself if making the complete wizard in JavaScript just like that is a good safe idea,3
I am setting a click handler for an anchor tag in jQuery mobile with via reference to the handler function inside the anchor tag I need to do it this way for reasons that are cumbersome to get into This approach works fine if I use a string or an integer as the function parameter but if I try to input an instance of an object as illustrated below it doesn t work Any advice on what I may be doing wrong would be greatly appreciated lt head gt lt meta name viewport content width device width initial scale 1 gt lt meta http equiv Content Type content text html charset UTF 8 gt lt script type text javascript src http ajax googleapis com ajax libs jquery 1 4 2 jquery min js gt lt script gt lt link rel stylesheet href http code jquery com mobile 1 1 0 rc 1 jquery mobile 1 1 0 rc 1 min css gt lt script src http code jquery com jquery 1 7 1 min js gt lt script gt lt script src http code jquery com mobile 1 1 0 rc 1 jquery mobile 1 1 0 rc 1 min js gt lt script gt lt head gt lt body gt lt script gt document ready function function testObject this param1 function maketestObject param1 var result new testObject result param1 param1 return result var i 0 var html for i 0 i lt 5 i i 1 var testInstance maketestObject test param html lt li gt lt a href data theme a onclick clickHandler testInstance return false rel external data role button gt click test1 lt a gt lt li gt testList append html testList listview refresh function clickHandler e alert e lt script gt lt div data role page class type interior gt lt div id main data role content gt lt ul id testList data role listview gt lt ul gt lt div gt lt div gt lt body gt,click
I m trying to wrap my head around this task and wondering if there is a standard way of doing this or some libraries that would be useful Certain events are tracked and timed at several data sources S1 SN The recorded information is the event type and timestamp There may be several events of the same type sequentially or they may be intermittent There could be missing events i e when one of the sources misses it and vice versa when a source introduces a false positive There is typically a time difference between observations of the same event at different sources This time difference has a constant component due to physical location of the sources but may also have a varying component introduced by network latency and other factors I need to find an algorithm that would find the optimal maximum time interval that should be used to group the observations at all sources in a single observed event and allow detection of the missing events and false positives I am wondering if the solution is really somewhere in the statistics field rather than algoritghms Any input would be much appreciated,difference
I have an Ubuntu Lucid server that is public facing I haven t really configured much on it except installing SSH sshd and Apache httpd I don t have a firewall or anything Are there some common rules that I should follow to secure my system I ve been following this article on securing my Apache,10
I m trying to use the Yodlee soap APIs They give examples with Apache AxisAny perspectives on using Ruby and Savon versus Java and Axis With Ruby Savon it seems that the best thing to do is to skip using the WSDL files and generate the requests based on examples from the Java Axis program I tried using the WSDL feature of Savon but I could not get it to work with the many embedded types and namespaces in the very complex WSDLs Looking at the Java Axis code there s a huge amount of generated code that isolates the Java developer from knowing about the XML Has anybody ever tried to replicate Axis in the Ruby world Thanks,savon
Basic problemI m looking for a solution to enumerate all applications installed on a Mac OS X system i e all application bundles registered with LaunchServices Simple approach that did not work Please note lsregister can be found under System Library Frameworks CoreServices framework Frameworks LaunchServices framework Support lsregister Currently I am using the output of lsregister dump grep E t path t grep Eo which has a few problems app bundles with newlines n which is valid on UNIX are not handled correctly This issue would be fixable by writing a proper parser lsregister doesn t handle correctly weird filename e g containing the RTL mark lsregister just seems to ignore files with the RTL mark in their name If you want to you can create a file with RTL in its name by running the following command python c import shutil shutil copytree u Applications TextEdit app u Applications ThisIsAWeird u202EApp app After doing this lsregister dump grep ThisIsAWeird will not reveal it But when you right click on a text file and go to Open With you ll that LaunchServices and Finder still support that file Simply enumerating all files in Applications and other directories does not work because LaunchServices is aware of application bundles in arbitrary folders and I also need these apps Other approch that I didn t get to workApparently there s a private API function called _LSFindApplications which does exactly what I need to do but I can t get it to work and didn t find any inofficial documentation on the internet proof it exists nm System Library Frameworks CoreServices framework Frameworks LaunchServices framework LaunchServices grep __LSFindApplications,lion
I m trying to reproduce google s scrollbar on my site For reasons I can t figure out sometimes this scrollbar has a scrambled appearance By scrambled I mean the scrollbar is multi colored has a black line spanning it and the scrollbar thumb is not visible Here s a screenshot to show you what i mean Here s a jsfiddle where unfortunately the scrollbar looks normal so I haven t been able to reproduce my problem I m using Twitter Bootstrap if that is helpful for thinking about how my existing CSS could be screwing this up,pseudo
I have the following unit test in my application TestMethod public void Windsor_Can_Resolve_HomeController_Dependencies Setup WindsorContainer container new WindsorContainer container Install FromAssembly Containing lt HomeController gt Act container Kernel Resolve typeof HomeController The point of this is to make sure I don t have any windsor configuration issues that I won t realize until I access an action on that controller The problem is that all my object registrations are registered as PerWebRequestLifestyle so I don t get issues with my Entity Framwork Data Context being shared across web requests which causes errors when multiple actions are run However whenever I run this unit test I get the following exception System InvalidOperationException HttpContext Current is null PerWebRequestLifestyle can only be used in ASP NetHow can I go about testing this scenario without changing the lifestyle of my object registration commands,windsor
I m currently receiving weird segmentation violations when runnning a MATLAB MEX file in parallel After a lot of debugging I m 99 sure that the segmentation violation has nothing to do with the MEX file itself but with the fact that I m running it in parallel One possible reason for the segmentation violations that was suggested is that the C library functions malloc and free may not be thread safe Is this really a possibility And is there any way that I can make sure I compiled the MEX file using the GNU C 2 14 90 development C Library so I guess I m looking for a website where this is distributed these types of questions are answered,mex
If f x f y leq f x y and f mathbb R to mathbb R then can we find lim_ x to 0 frac f x x I am not sure whether the question is correct Thank you I tried this idea f x f x y y ge f x y f y ge f x f y f y implies f y leq f y but after that I seem to be hitting a roadblock Thank you in advance,equations
I am using some legacy code to return an Excel worksheet as a Dataset However when I iterate over the resulting data set it seems that not all of the cells are there The Excel sheet that is being read has some merged cells and I am wondering if that is the problem Here is the code private DataSet Get_Spreadsheet_Data string strFileName string strSheetName DataSet ds new DataSet string strConnectionString Provider Microsoft Jet OLEDB 4 0 Data Source strFileName Extended Properties Excel 8 0 OleDbConnection objConn new OleDbConnection strConnectionString try objConn Open OleDbCommand objCmdSelect new OleDbCommand SELECT FROM strSheetName objConn OleDbDataAdapter objAdapter1 new OleDbDataAdapter objAdapter1 SelectCommand objCmdSelect objAdapter1 Fill ds catch Exception Ex litOutput Text lt span style color red gt Exception Occurred pulling data from the spreadsheet lt span gt lt br gt Details Ex Message finally objConn Close objConn Dispose return ds Is this code malfunctioning Any advice is appreciated Regards,table
I m curious from a performance standpoint is there an advantage in storing all files in one directory versus having each file in a separate directory I m not concerned about organization Also this is assuming the files will be accessed often so I O usage will be high No directory listing is involved the files will be pulled by absolute path The system environment is Linux CentOS 5 3,io
I am about to write an application that gets streaming data from the tcp port doin some real time calculations on them All good so far but the user interface and the marquee progress bar are getting stuck for irregular short time periods when the producer thread is started to do some packaging on the data chunks see code void Produce try while true foreach Chunk _chunk in bcPort if _ThreadCanceler IsCancellationRequested break Chunk chunk bcPort Take chunk TimeTracker new Stopwatch chunk SegmentId iSegmentId if chunk Channel 1 iChannels iSegmentId last channel raise segment id iPrevChannel chunk Channel _ProcessAndJoin EnqueueTask chunk _ThreadCanceler iChunksProduced _LogWriter WriteMessage Task Task CurrentId ToString producer ADDED_ Chunk chunk Channel chunk Vals Count ToString chunk SegmentId iChunksProduced bcPort Count for takeaway Thread Thread CurrentThread ManagedThreadId ToString if _ThreadCanceler IsCancellationRequested break catch Exception ex Console WriteLine ForkAndCrate cs Produce ex ToString I did a lot of thesting and found out that the access to the BlockingCollection bcPort seems to be the problem bcPort gets constantly chunks from another data adder thread which is also supposed not to influnce the ui thread So I dont understand the following 1 Why is the GUI getting stuck when I am using different threads for adding and packaging the chunks 2 Why is this happening when I am using a BC for storing data Arent these thread safe collections for this certain purpose By the way Windows 7 ResourceManager shows 100 CPU usage during streaming the chunks contain about 2000 float values each 4 or 5 of them a rushing in per second I also disabled the Logger but no effect The consumer and evaluation threads are disabled Besides the ui thread there is only a thread called ReceiveAndSave which makes chunks out of incoming float vals see code Method Add the thread Producer is doing some further packaging and enqeues the chunks for the consumer deactivated public void Add short iChannel float fValue try _Benchmark UpdateRec one value received update benchmark if cdBasin iChannel Enqueue fValue Chunk chunk new Chunk chunk Vals cdBasin iChannel ToListDeep chunk Channel iChannel bcPort Add chunk cdBasin AddOrUpdate iChannel new BoundedQueue lt float gt iSegmentSizePerChannel key oldValue gt new BoundedQueue lt float gt iSegmentSizePerChannel catch Exception ex MessageBox Show ex ToString Stop MessageBoxButtons OK MessageBoxIcon Stop The producer is started with myThreads 0 new Thread Produce myThreads 0 Name Produce myThreads 0 Start,0
The SetupI have an OpenVPN server that acts as a central router It is configured with topology subnet command Clients are Debian Linux nodes and each have one or more subnets directly connected to them The objective is for any client connected to the VPN to be able to access the subnets connected behind each other client In order to spread the routing information we have installed Quagga on the clients and on the server This works fine using the OSPF daemon Routing is enabled on all the clients and the server as well Routing tableThe routing table on the server is the following Kernel IP routing tableDestination Gateway Genmask Flags Metric Ref Use Iface10 2 10 1 10 8 0 4 255 255 255 255 UGH 20 0 0 tun0192 168 100 0 10 8 0 4 255 255 255 0 UG 20 0 0 tun0192 168 1 0 10 8 0 4 255 255 255 0 UG 20 0 0 tun0The subnet I want to access is 192 168 100 0 24 The gateway in question responds perfectly fine and I can connect to it alright I don t think this will be of any use but here is part of the client routing table 10 2 10 1 0 0 0 0 255 255 255 255 UH 0 0 0 tun0192 168 100 0 0 0 0 0 255 255 255 0 U 0 0 0 eth1192 168 1 0 0 0 0 0 255 255 255 0 U 0 0 0 eth0Where things start going southPinging from the server 10 8 0 1 to any hosts including the VPN client interface in the 192 168 100 0 24 subnet fails If I tcpdump the tun interface on the VPN client I see no relevant package If I tcpdump the tun interface on the VPN server I see the package in question being sent out The real edgy thing is that when I traceroute to a valid IP in the 192 168 100 0 subnet it doesn t discover any hops there should be just one If I traceroute directly to the next hop 10 8 0 4 it responds fine I really hope I am being clear as this is quite a complex problem I ll be happy to provide extra information at your request,quagga
I try to download a file through the browser it s working perfectly if a have that String pdfUrl www myLink com document test pdf Intent intent new Intent Intent ACTION_VIEW intent setData Uri parse pdfUrl startActivity intent However if the link is String pdfUrl www myLink com document test It s very odd because it works on my browser Chrome I can download the 2 files,file
I ve created a web application that uses a SQL Server 2008 R2 database in the background Application uses integrated security SSPI connection to database so users need granted access to database server All users that should be using the app are members of a particular AD domain group This is what I ve doneI ve added a new Security Login on SQL Server level and provided AD domain group name which gets displayed as a group based on icon Then I ve opened this server login properties dialog and opened User Mapping settings where I checked my particular database that I want users of this AD domain group to access see below in the image In the list below are displayed Database role memberships where public is checked I created all objects in my database as a separate SQL Server user with securityadmin permission and provided schema dbo with every object as in create table dbo SomeTable create procedure dbo SomeProcedure All database manipulation is done via stored procedures only No table is directly accessed by the application Based on these facts dbo schema with my objects AD domain group security login stored procedure execution only I wonder which role membership should be set on AD domain group server login to use my database Users should have permission to execute stored procedures These on the other hand do everything else CRUD operations on tables execute user defined functions and call each other as well QuestionSetting db_datareader and db_datawriter as seen below isn t sufficient as implied by the error screen my users get stored procedures supposedly don t exists How do I set security permissions on my AD domain group so it will be able to see dbo objects and execute those stored procedures,2008
I m trying to come up with some formula to translate signal loss to distance Distance from Transmitter xSignal loss yx 0 y 0x 10 y 11 6x 20 y 20 2x 30 y 25 9As you can see there is not a linear loss of signal as you travel in 10 meter steps away from the transmitter Is there some kind of equation that I can plug the signal loss into that will give me a rough estimate of the distance away from the transmitter I am Many Thanks Code,topology
What is the difference between Linear search and Binary search,linear
I m building an estimate for a potential client I ll do some more research if I get the project but need some ideas for now I m trying to figure out a good solution that won t take several months to develop but will still provide good flexibility for future enhancements My options I believe are cms e commerce plugin e g drupal ubercart e commerce platform that is extendable e g magento framework e commerce platform e g ci magento cms e commerce e g wordpress magento The site will be similar to etsy where users can have items that they sell with their own portfolio page The client wants to add many custom features as well Also the site will serve up a lot of images and audio I m concerned that using strictly a e commerce platform will give me a lot of obstacles to overcome rather than use just a cart framework I know Magento is written on Zend but while I have used Magento I m not very familiar with Zend and it seems to take quite a while to learn I have never used ubercart wp e commerce or virtuemart so I m not sure of the limitations The products will not need to be configurable But we will need to store financial information I m thinking braintree s vault or authorize net cim I d like to do the framework ecommerce platform route But the client would also like a lower price option I m leaning towards drupal ubercart Just would like some opinions from personal experience Thanks,ubercart
I have some view controller which I call with the following method myViewController myView myViewController alloc initWithNibName nil bundle nil myView modalTransitionStyle UIModalTransitionStyleCoverVertical self presentModalViewController myView animated YES myView release if I use the app a few times I get a memory warning and the app freezes for a few seconds I think the reason is that i switch the view but not discharged the old one i set my outlets to nil and release them how can I unload the old view after switching to the new one Thanks in advance,view
There is a way to know and check who make where come from a NET HTTP request P S I am using Ruby on Rails,web
I m currently reading Advanced Programming in the Unix Environment by Stevens Rago Within the process group section of the book the author discusses how process groups are utilized commonly by shells for pipelining For example the argument shown below could have been generated by shell commands of the form proc1 proc2 amp proc3 proc4 proc5Lots of other resources also discuss the relationship between process groups and pipelining However the one thing which I cannot find is an explanation of how the pipelining portion of this is implemented I know that in Linux shells like Boune again shell BASH processes in a pipeline are executed in parallel that is in the previous example showing proc3 proc4 proc5 all three of these processes are simultaneously executed The stdin of proc4 is connected to the stdin of proc3 I also know that MS DOS used temporary files and did not execute pipes in parallel but let s ignore that for the moment So I ve got proc3 proc4 proc5 all in a process group Fantastic How does this actually help with creating the pipelines between them As far as I can tell I need to do the following to enable pipelining in a shell which I build Create N 1 pipelines where N is the number of processes in thepipelined statement fork the shell process N timesIn each forked process I need to use dup2 to properly set up theshared pipelinesThen after all of the forked processes have confirmation that theyhave all finalized setting up their pipes likely via some IPC via ashared memory space each can then run exec and actually launchtheir respective processes However all of the texts which I keep reading act as if process groups provide some magical functionality to create these pipelines or they are simply neglecting to mention the procedure I outlined above Any comments or advice is always appreciated,operating
I m creating a library for use with an application that I am building I am building a name space structure similar to below MyNamespace ValidationMyNamespace ReportsMyNamespace TransactionsMyNamespace DataImportetc Would it be best practice to create a solution with multiple projects for each sub namespace or one project with multiple class files for each sub namespace Thanks,solutions
I have a SQL Server 2008 database with 300 tables The application I have to design is an Windows Forms app NET 3 5 C Which is the best way to work with Linq to SQL I intend to make a datacontext for each business entity Is there any problem I need to know if this way of working with Linq to SQL has any disadvantage or can create performance issues Thanks,linq
With a sine input I tried to modify it s frequency cutting some lower frequencies in the spectrum shifting the main frequency towards zero As the signal is not fftshifted I tried to do that by eliminating some samples at the begin and at the end of the fft vector interval 1 samplingFrequency 44100 signalFrequency 440 sampleDuration 1 samplingFrequency timespan 1 sampleDuration 1 interval original sin 2 pi signalFrequency timespan fourierTransform fft original frequencyCut 10 HertzfrequencyCut floor frequencyCut length pattern samplingFrequency 4 SamplesmaxFrequency length fourierTransform 2 frequencyCut signal ifft fourierTransform frequencyCut 1 maxFrequency symmetric But it didn t work as expected I also tried to remove the center part of the spectrum but it wielded a higher frequency sine wave too How to make it right,frequency
I am storing multiple entities in an azure table Need to know if there is a way to retrieve those multiple entities at once and map them to their original models partition key would be same row keys would be different Will just do the query on partition key Figured out that it retrieves everything with those parameters and tries to convert to the type against which it was being called in the LINQ query Any suggestion on when how can I separate different types of entities,storage
I need to perform a request to the following URL http USERNAME PASSWORD SERVER_IP PORT some path to some fileBUT the finally generated URL is treated as INVALID because it contains the character twice Is there any solution That is what I tried process curl_init http SERVER_IP PORT OpenKM webdav okm personal somefile mp4 curl_setopt process CURLOPT_HEADER 1 curl_setopt process CURLOPT_USERPWD USERNAME PASSWORD curl_setopt process CURLOPT_TIMEOUT 30 curl_setopt process CURLOPT_POST 1 curl_setopt process CURLOPT_RETURNTRANSFER TRUE return curl_exec process return is FALSEvar_dump curl_error process die Here we see string 23 Empty reply from server,authentication
