Question,Tag
I am getting the following error Access denied for user apache localhost using password NO When using the following code lt php include includes connect php query SELECT from story result mysql_query query or die mysql_error echo lt h1 gt Delete Story lt h1 gt if mysql_num_rows result gt 0 while row mysql_fetch_row result echo lt b gt row 1 lt b gt lt span align right gt lt a href process delete_story php id row 0 gt Delete lt a gt lt span gt echo lt br gt lt i gt row 2 lt i gt else echo No stories available gt The connect php file contains my MySQL connect calls that are working fine with my INSERT queries in another portion of the software If I comment out the result mysql_query line then it goes through to the else statement So it is that line or the content in the if I have been searching the net for any solutions and most seem to be related to too many MySQL connections or that the user I am logging into MySQL as does not have permission I have checked both I can still perform my other queries elsewhere in the software and I have verified that the account has the correct permissions,php
I m having trouble figuring out how to get the testing framework set up and usable in Visual Studio 2008 for C presumably with the built in unit testing suite Any links or tutorials would be appreciated,cpp
I m wondering how to make a release build that includes all necessary dll files into the exe so the program can be run on a non development machine without it having to install the microsoft redistributable on the target machine Without doing this you get the error message that the application configuration is not correct and to reinstall,cpp
What code analysis tools do you use on your Java projects I am interested in all kinds static code analysis tools FindBugs PMD and any others code coverage tools Cobertura Emma and any others any other instrumentation based tools anything else if I m missing something If applicable also state what build tools you use and how well these tools integrate with both your IDEs and build tools If a tool is only available a specific way as an IDE plugin or say a build tool plugin that information is also worth noting,java
Is there available any tool for PHP which can be used to generate code for consuming a web service based on its WSDL Something comparable to clicking Add Web Reference in Visual Studio or the Eclipse plugin which does the same thing for Java,php
How is it possible to make prototype methods in C Net In JavaScript I can do the following to create a trim method for the string object String prototype trim function return this replace s s g How can I go about doing this in C Net,csharp
Example I have two shared objects same should apply to dlls The first shared object is from a third party library we ll call it libA so I have wrapped some of this with JNI and created my own library libB so Now libB depends on libA When webstarting both libraries are places in some webstart working area My java code attempts to load libB At this point the system loader will attempt to load libA which is not in the system library path java library path won t help this The end result is that libB has an unsatisfied link and cannot be used I have tried loading libA before libB but that still does not work Seems the OS wants to do that loading for me Is there any way I can make this work other than statically compiling,java
I am new to C and am doing some work in an existing application I have a DirectX viewport that has components in it that I want to be able to position using arrow keys Currently I am overriding ProcessCmdKey and catching arrow input and send an OnKeyPress event This works but I want to be able to use modifiers ALT CTRL SHIFT As soon as I am holding a modifier and press an arrow no events are triggered that I am listening to Does anyone have any ideas or suggestions on where I should go with this,csharp
My organization has a form to allow users to update their email address with us It s suggested that we have two input boxes for email the second as an email confirmation I always copy paste my email address when faced with the confirmation I m assuming most of our users are not so savvy Regardless is this considered a good practice I can t stand it personally but I also realize it probably isn t meant for me If someone screws up their email they can t login and they must call to sort things out,html
I m developing a Sharepoint application and use NET AjaxControlToolkit library we are adding a custom aspx page to the Sharepoint Sharepoint 2007 run in quirks mode so I ve made some modification to the AJAX library to make it behave like it normally should The problem is the other team already use AJAX library and it is a different version with mine This cause conflict because there could be only one dll in the bin folder with the same name From what I know NET should be able to handle this situation easily I ve tried using strong name and GAC to solve it but it still refer to the dll in the bin folder If there is no AjaxControlToolkit dll in the bin folder the application will simply fail to load the assembly If I use complete assembly information on my like this lt Register tagprefix AjaxControlToolkit namespace AjaxControlToolkit assembly AjaxControlToolkit Version 1 0 299 18064 PublicKeyToken 12345678abcdefgh Culture neutral gt It gives me Compiler Error CS0433 Can someone help me on how to use multiple version of assembly in an application,csharp
I have some code for starting a thread on the NET CF 2 0 ThreadStart tStart new ThreadStart MyMethod Thread t new Thread tStart t Start If I call this inside a loop the items complete out of order How do introduce a wait after t Start so that the work on the thread completes before the code continues Will BeginInvoke EndInvoke be a better option for this than manually creating threads,csharp
After a couple hours fighting with the Gallery2 RSS module and getting only the message no feeds have yet been defined I gave up Based on a Google search for no feeds have yet been defined this is a pretty common problem Do you have any tips and or tricks for getting the Gallery2 RSS module to work Or any tips for a relatively PHP ignorant developer trying to debug problems with this PHP application,php
Recently I have been having issues with Firefox 3 on Ubuntu Hardy Heron I will click on a link and it will hang for a while I don t know if its a bug in Firefox 3 or a page running too much client side JavaScript but I would like to try and debug it a bit So my question is is there a way to have some kind of process explorer or task manager sort of thing for Firefox 3 I would like to be able to see what tabs are using what percent of my processor via the JavaScript on that page or anything in the page that is causing CPU memory usage Does anybody know of a plugin that does this or something similar Has anyone else done this kind of inspection another way I know about FireBug but I can t imagine how I would use it to finger which tab is using a lot of resources Any suggestions or insights,javascript
I am writing an application in Java for the desktop using the Eclipse SWT library for GUI rendering I think SWT helps Java get over the biggest hurdle for acceptance on the desktop namely providing a Java application with a consistent responsive interface that looks like that belonging to any other app on your desktop However I feel that packaging an application is still an issue OS X natively provides an easy mechanism for wrapping Java apps in native application bundles but producing an app for Windows Linux that doesn t require the user to run an ugly batch file or click on a jar is still a hassle Possibly that s not such an issue on Linux where the user is likely to be a little more tech savvy but on Windows I d like to have a regular exe for him her to run Has anyone had any experience with any of the exe generation tools for Java that are out there I ve tried JSmooth but had various issues with it Is there a better solution before I crack out Visual Studio and roll my own Edit I should perhaps mention that I am unable to spend a lot of money on a commercial solution,java
I want to open a file for reading the C way I need to be able to do it for text files which would involve some sort of read line function binary files which would provide a way to read raw data into a char buffer,cpp
I am working on a project right now that involves receiving a message from another application formatting the contents of that message and sending it to a printer Technology of choice is C windows service The output could be called a report I suppose but a reporting engine is not necessary A simple templating engine like StringTemplate or even XSLT outputting HTML would be fine The problem I m having is finding a free way to print this kind of output from a service Since it seems that it will work I m working on a prototype using Microsoft s RDLC populating a local report and then rendering it as an image to a memory stream which I will then print Issues with that are Multi page printing will be a big headache Still have to use PrintDocument to print the memory stream which is unsupported in a Windows Service though it may work haven t gotten that far with the prototype yet If the data coming across changes I have to change the dataset and the class that the data is being deserialized into bad bad bad Has anyone had to do anything remotely like this Any advice I already posed a question about printing HTML without user input and after wasting about 3 days on that I have come to the conclusion that it cannot be done at least not with any freely available tool All help is appreciated EDIT We are on version 2 0 of the NET framework,csharp
So I ve been poking around with C a bit lately and all the Generic Collections have me a little confused Say I wanted to represent a data structure where the head of a tree was a key value pair and then there is one optional list of key value pairs below that but no more levels than these Would this be suitable public class TokenTree public TokenTree I must admit to not fully understanding this I got it from msdn As far as I can tell IDictionary is an interface and Dictionary is the default implementation of that interface right SubPairs new Dictionary lt string string gt public string Key public string Value public IDictionary lt string string gt SubPairs It s only really a simple shunt for passing around data,csharp
We have a remoting singleton server running in a separate windows service let s call her RemotingService The clients of the RemotingService are ASP NET instances many many Currently the clients remoting call RemotingService and blocks while the RemotingService call is serviced However the remoting service is getting complicated enough with more RPC calls and complex algorithms that the asp net worker threads are blocked for a significantly long time 4 5 seconds According to this msdn article doing this will not scale well because an asp net worker thread is blocked for each remoting RPC It advises switching to async handlers to free up asp net worker threads The purpose of an asynchronous handler is to free up an ASP NET thread pool thread to service additional requests while the handler is processing the original request This seems fine except the remoting call still takes up a thread from the thread pool Is this the same thread pool as the asp net worker threads How should I go about turning my remoting singleton server into an async system such that I free up my asp net worker threads I ve probably missed out some important information please let me know if there is anything else you need to know to answer the question,csharp
I m doing a authorization check from a WinForms application with the help of the AzMan authorization provider from Enterprise Library and am receiving the the following error Unable to update the password The value provided as the current password is incorrect Exception from HRESULT 0x8007052B Microsoft Practices EnterpriseLibrary Security AzMan Unable to update the password The value provided as the current password is incorrect Exception from HRESULT 0x8007052B Microsoft Interop Security AzRoles The AzMan store is hosted in ADAM on another computer in the same domain Other computers and users do not have this problem The user making the call has read access to both ADAM and the AzMan store The computer running the WinForms app and the computer running ADAM are both on Windows XP SP2 I ve had access problems with AzMan before that I ve resolved but this is a new one What am I missing,csharp
I m looking for a good article on using emacs as C C IDE Something like Steve Yegge s Effective emacs,cpp
I have been looking into IKVMing Apache s FOP project to use with our NET app It s a commercial product and looking into licensing IKVM runs into some sticky areas because of its use of GNU Classpath From what I ve seen no one can say for sure if this stuff can be used in a commercial product Has anyone used IKVM or an IKVM d product in a commercial product Here s what I ve found so far IKVM license page which notes that one dll contains code from other projects their license GPLv2 Classpath Exception Saxon for NET is generated with IKVM but released under the Apache license Anyone have experience with this,java
Sorry for the basic question I m a NET developer and don t have much experience with LAMP setups I have a PHP site that will allow uploads to a specific folder I have been told that this folder needs to be owned by the webserver user for the upload process to work so I created the folder and then set permissions as such chown apache apache R uploads chmod 755 R uploads The only problem now is that the FTP user can not modify the uploaded files at all Is there a permission setting that will allow me to still upload files and then modify them later as a user other than the webserver user,php
This is a difficult and open ended question I know but I thought I d throw it to the floor and see if anyone had any interesting suggestions I have developed a code generator that takes our python interface to our C code generated via SWIG and generates code needed to expose this as WebServices When I developed this code I did it using TDD but I ve found my tests to be brittle as hell Because each test essentially wanted to verify that for a given bit of input code which happens to be a C header I d get a given bit of outputted code I wrote a small engine that reads test definitions from XML input files and generates test cases from these expectations The problem is I dread going in to modify the code at all That and the fact that the unit tests themselves are a complex and b brittle So I m trying to think of alternative approaches to this problem and it strikes me I m perhaps tackling it the wrong way Maybe I need to focus more on the outcome IE does the code I generate actually run and do what I want it to rather than does the code look the way I want it to Has anyone got any experiences of something similar to this they would care to share,cpp
This is a difficult and open ended question I know but I thought I d throw it to the floor and see if anyone had any interesting suggestions I have developed a code generator that takes our python interface to our C code generated via SWIG and generates code needed to expose this as WebServices When I developed this code I did it using TDD but I ve found my tests to be brittle as hell Because each test essentially wanted to verify that for a given bit of input code which happens to be a C header I d get a given bit of outputted code I wrote a small engine that reads test definitions from XML input files and generates test cases from these expectations The problem is I dread going in to modify the code at all That and the fact that the unit tests themselves are a complex and b brittle So I m trying to think of alternative approaches to this problem and it strikes me I m perhaps tackling it the wrong way Maybe I need to focus more on the outcome IE does the code I generate actually run and do what I want it to rather than does the code look the way I want it to Has anyone got any experiences of something similar to this they would care to share,cpp
How can I determine the IP of my router gateway in Java I can get my IP easily enough I can get my internet IP using a service on a website But how can I determine my gateway s IP This is somewhat easy in NET if you know your way around But how do you do it in Java,java
This is a nasty one for me I m a PHP guy working in Java on a JSP project I know how to do what I m attempting through too much code and a complete lack of finesse I d prefer to do it RIGHT Here is the situation I m writing a small display to show customers what days they can water their lawns based on their watering group ABCDE and what time of year it is Our seasons look like this Summer 5 1 to 8 31 Spring 3 1 to 4 30 Fall 9 1 to 10 31 Winter 11 1 to 2 28 An example might be If I m in group A here would be my allowed times Winter Mondays only Spring Tues Thurs Sat Summer Any Day Fall Tues Thurs Sat If I was writing this in PHP I would use arrays like this M Monday t Tuesday T Thursday etc schedule A Winter M schedule A Spring tTS schedule A Summer Any schedule A Fall tTS schedule B Winter t I COULD make the days arrays array Tuesday Thursday Saturday etc but it is not necessary for what I m really trying to accomplish I will also need to setup arrays to determine what season I m in seasons Summer start 0501 seasons Summer end 0801 Can anyone suggest a really cool way to do this I will have today s date and the group letter I will need to get out of my function a day M or a series of days tTS Any Thanks folks,java
This is a nasty one for me I m a PHP guy working in Java on a JSP project I know how to do what I m attempting through too much code and a complete lack of finesse I d prefer to do it RIGHT Here is the situation I m writing a small display to show customers what days they can water their lawns based on their watering group ABCDE and what time of year it is Our seasons look like this Summer 5 1 to 8 31 Spring 3 1 to 4 30 Fall 9 1 to 10 31 Winter 11 1 to 2 28 An example might be If I m in group A here would be my allowed times Winter Mondays only Spring Tues Thurs Sat Summer Any Day Fall Tues Thurs Sat If I was writing this in PHP I would use arrays like this M Monday t Tuesday T Thursday etc schedule A Winter M schedule A Spring tTS schedule A Summer Any schedule A Fall tTS schedule B Winter t I COULD make the days arrays array Tuesday Thursday Saturday etc but it is not necessary for what I m really trying to accomplish I will also need to setup arrays to determine what season I m in seasons Summer start 0501 seasons Summer end 0801 Can anyone suggest a really cool way to do this I will have today s date and the group letter I will need to get out of my function a day M or a series of days tTS Any Thanks folks,java
I want to define something like this in php EL n lt br gt n and then use that variable as an endline marker all over my site like this echo Blah blah blah EL How do I define EL once in only 1 file include it on every page on my site and not have to reference it using the strangely backwards global EL statement in every page function,php
I m looking for a clear concise and accurate answer Ideally as the actual answer although links to good explanations welcome This also applies to VB Net but the keywords are different ByRef and ByVal,csharp
From time to time I get a System Threading ThreadStateException when attempting to restart a thread The code in question is as follows Make sure the thread is done stopping while this mThread ThreadState ThreadState Running Thread Sleep 0 Respawn a thread if the current one is stopped or doesn t exist if this mThread null this mThread ThreadState ThreadState Stopped this mThread new Thread new ParameterizedThreadStart Monitor Start the thread if check this mThread Start 60000 else this mThread Start 0 So two questions is this the correct way of doing things and it is is there a way to prevent the error from occurring,csharp
assume php5 consider lt php foo some words case 1 print these are foo case 2 print these are foo case 3 print these are foo gt Is there much of a difference between 1 and 2 If not what about between 1 2 and 3,php
I d like to make a debug logging function with the same parameters as printf But one that can be removed by the pre processor during optimized builds For example Debug_Print Warning value d gt 3 n value I ve looked at variadic macros but those aren t available on all platforms gcc supports them msvc does not,cpp
What are some standard practices for managing a medium large JavaScript application My concerns are both speed for browser download and ease and maintainability of development Our JavaScript code is roughly namespaced as var Client var1 var2 accounts 100 s of functions and variables orders 100 s of functions and variables and subsections etc etc for a couple hundred kb At the moment we have one unpacked unstripped highly readable JavaScript file to handle all the business logic on the web application In addition there is jQuery and several jQuery extensions The problem we face is that it takes forever to find anything in the JavaScript code and the browser still has a dozen files to download Is it common to have a handful of source JavaScript files that gets compiled into one final compressed JavaScript file Any other handy hints or best practices,javascript
It s been mentioned to me that I ll be the sole developer behind a large new system Among other things I ll be designing a UI and database schema I m sure I ll receive some guidance but I d like to be able to knock their socks off What can I do in the meantime to prepare and what will I need to keep in mind when I sit down at my computer with the spec A few things to keep in mind I m a college student at my first real programming job I ll be using Java We already have SCM set up with automated testing etc so tools are not an issue,java
I need to read from Outlook MSG file in NET without using COM API for Outlook cos it will not be installed on the machines that my app will run Are there any free 3rd party libraries to do that I want to extract From To CC and BCC fields Sent Receive date fields would be good if they are also stored in MSG files,csharp
What s the best way to convert a string to an enumeration value in C I have an HTML select tag containing the values of an enumeration When the page is posted I want to pick up the value which will be in the form of a string and convert it to the enumeration value In an ideal world I could do something like this StatusEnum MyStatus StatusEnum Parse Active but that isn t valid code,csharp
I have a user that want to be able to select a textbox and have the current text selected so that he doesn t have to highlight it all in order to change the contents The contents need to be handle when enter is pushed That part I think I have figured out but any suggestions would be welcome The part I need help with is that once enter has been pushed any entry into the textbox should clear the contents again Edit The textbox controls an piece of RF hardware What the user wants to be able to do is enter a setting and press enter The setting is sent to the hardware Without doing anything else the user wants to be able to type in a new setting and press enter again,csharp
What makes a module service bit of application functionality a particularly good candidate for an OSGi module I m interested in using OSGi in my applications We re a Java shop and we use Spring pretty extensively so I m leaning toward using Spring Dynamic Modules for OSGi tm Service Platforms I m looking for a good way to incorporate a little bit of OSGi into an application as a trial Has anyone here used this or a similar OSGi technology Are there any pitfalls Nicolas Thanks I ve seen that one It s a good tutorial but I m looking more for ideas on how to do my first real OSGi bundle as opposed to a Hello World example david Thanks for the link Ideally with a greenfield app I d design the whole thing to be dynamic What I m looking for right now though is to introduce it in a small piece of an existing application Assuming I can pick any piece of the app what are some factors to consider that would make that piece better or worse as an OSGi guinea pig,java
Say I have an object that stores a byte array and I want to be able to efficiently generate a hashcode for it I ve used the cryptographic hash functions for this in the past because they are easy to implement but they are doing a lot more work than they should to be cryptographically oneway and I don t care about that I m just using the hashcode as a key into a hashtable Here s what I have today struct SomeData IEquatable lt SomeData gt private readonly byte data public SomeData byte data if null data data Length lt 0 throw new ArgumentException data this data new byte data Length Array Copy data this data data Length public override bool Equals object obj return obj is SomeData amp amp Equals SomeData obj public bool Equals SomeData other if other data Length data Length return false for int i 0 i lt data Length i if data i other data i return false return true public override int GetHashCode return BitConverter ToInt32 new MD5CryptoServiceProvider ComputeHash data 0 Any thoughts dp You are right that I missed a check in Equals I have updated it Using the existing hashcode from the byte array will result in reference equality or at least that same concept translated to hashcodes for example byte b1 new byte 1 byte b2 new byte 1 int h1 b1 GetHashCode int h2 b2 GetHashCode With that code despite the two byte arrays having the same values within them they are referring to different parts of memory and will result in probably different hash codes I need the hash codes for two byte arrays with the same contents to be equal,csharp
Every now and then in a high volume NET application you might see this exception when you try to execute a query System Data SqlClient SqlException A transport level error has occurred when sending the request to the server According to my research this is something that just happens and not much can be done to prevent it It does not happen as a result of a bad query and generally cannot be duplicated It just crops up maybe once every few days in a busy OLTP system when the TCP connection to the database goes bad for some reason I am forced to detect this error by parsing the exception message and then retrying the entire operation from scratch to include using a new connection None of that is pretty Anybody have any alternate solutions,csharp
I know that IList is the interface and List is the concrete type but I still don t know when to use each one What I m doing now is if I don t need the Sort or FindAll methods I use the interface Am I right Is there a better way to decide when to use the interface or the concrete type,csharp
I m creating an ZIP file with ZipFile in Python 2 5 it works ok so far import zipfile os locfile test txt loczip os path splitext locfile 0 zip zip zipfile ZipFile loczip w zip write locfile zip close but I couldn t find how to encrypt the files in the ZIP file I could use system and call PKZIP s but I suppose there must be a more Pythonic way I m looking for an open source solution,python
We created a tool which converts a language called P2 a language similar to assembly which I think exists only in Japan to C There are at least a hundred modules written in P2 and we want to verify if the conversion to C is right How can we test this,csharp
We have a situation in our product where for a long time some data has been stored in the application s database as SQL string choice of MS SQL server or sybase SQL anywhere which was encrypted via the Windows API function CryptEncrypt direct and decryptable The problem is that CryptEncrypt can produce NULL s in the output meaning that when it s stored in the database the string manipulations will at some point truncate the ciphertext Ideally we d like to use an algo that will produce cyphertext that doesn t contain NULLs as that will cause the least amount of change to the existing databases changing a column from string to binary and code to deal with binary instead of strings and just decrypt existing data and re encrypt with the new algo at database upgrade time The algorithm doesn t need to be the most secure as the database is already in a reasonably secure environment not an open network teh interwebs but does need to bebetter than ROT13 which I can almost decrypt in my head now Cheers edit btw any particular reason for changing ciphertext to cyphertext ciphertext seems more widely used,cpp
When opening a file from your hard drive into your browser where is the document root To illustrate given the following HTML code if the page is opened from the local machine file then where should the css file be for the browser to find it lt link href temp test css rel stylesheet type text css gt,html
I have a bunch of files TV episodes although that is fairly arbitrary that I want to check match a specific naming organisation scheme Currently I have three arrays of regex one for valid filenames one for files missing an episode name and one for valid paths Then I loop though each valid filename regex if it matches append it to a valid dict if not do the same with the missing ep name regexs if it matches this I append it to an invalid dict with an error code 2 missing epsiode name if it matches neither it gets added to invalid with the malformed name error code The current code can be found here I want to add a rule that checks for the presence of a folder jpg file in each directory but to add this would make the code substantially more messy in it s current state How could I write this system in a more expandable way The rules it needs to check would be File is in the format Show Name 01x23 Episode Name avi or Show Name 01xSpecial02 Special Name avi or Show Name 01xExtra01 Extra Name avi If filename is in the format Show Name 01x23 avi display it a missing episode name section of the output The path should be in the format Show Name season 2 the_file avi where season 2 should be the correct season number in the filename each Show Name season 1 folder should contain folder jpg any ideas While I m trying to check TV episodes this concept code should be able to apply to many things The only thought I had was a list of dicts in the format checker name valid files type file function check_valid runs check_valid on all files status 0 if it returns True this is the status the file gets,python
I could only find the function confirm that gives OK Cancel buttons Is there any way to give Yes No buttons,javascript
What is the best way to manage a list of windows keeping them in order to be able to promote the next window to the top level when the current top level window is closed This is for a web application so we re using jQuery Javascript We d talked through a few simplistic solutions such as using an array and just treating 0 index as the top most window I m wondering if there s any potentially more efficient or useful alternative to what we had brainstormed,javascript
I have a flex application that needs the ability to generate and execute JavaScript When I say this I mean I need to execute raw JavaScript that I create in my Flex application not just an existing JavaScript method I am currently doing this by exposing the following JavaScript method function doScript js eval js I can then do something like this in Flex note I am doing something more substantial then an alert box in the real Flex app ExternalInterface call doScript alert foo My question is does this impose any security risk I am assuming it s not since the Flex and JasvaScript all run client side Is there a better way to do this,javascript
I have a Java swing application with a panel that contains three JComboBoxes that do not draw properly The combox boxes just show up as the down arrow on the right side but without the label of the currently selected value The boxes will redraw correctly if the window is resized either bigger or smaller by even one pixel All of my googling has pointed to calling revalidate on the JPanel to fix this but that hasn t worked for me Calling updateUI on the JPanel has changed it from always displaying incorrectly to displaying incorrectly half of the time Has anyone else seen this and found a different way to force a redraw of the combo boxes,java
I seem to be missing something about LINQ To me it looks like it s taking some of the elements of SQL that I like the least and moving them into the C language and using them for other things I mean I could see the benefit of using SQL like statements on things other than databases But if I wanted to write SQL well why not just write SQL and keep it out of C What am I missing here,csharp
I ve created a map system for a game that runs on the principle of drawing the picture of the map from tiles There are many reasons for this which I won t go into here but if you really want to know then I m sure you can find out how to contact me I have made the latest version live so you can see exactly where the problem lies and the source The issue is the line between the top 2 tiles and the bottom 2 tiles I can t figure out why it s gone like this and any help would be appreciated In the source is a marker called stackoverflow if you search for stackoverflow when viewing source then it should take you to the table in question I have also uploaded an image of the issue,html
I have a listening port on my server that I m connecting to using a Java class and the Socket interface i e Socket mySocket new Socket host port I then grab an OutputStream decorate with a PrintWriter in autoflush mode and I m laughing except if the listening port closes Then I get tcp4 0 0 9999 LISTEN tcp 0 0 127 0 0 1 45737 127 0 0 1 9999 CLOSE_WAIT and I can t seem to detect the problem in the program I ve tried using the isConnected method on the socket but it doesn t seem to know that the connection is closed I want to be aware of the problem the next time I try and write to the Socket so that I can try and reconnect and report the issue Any advice please Thanks all,java
I am working on a function to establish the entropy of a distribution It uses a copula if any are familiar with that I need to sum up the values in the array based on which dimensions are cared about Example Consider the following example Dimension 0 across _ _ _ _ _ _ _ _ _ _ _ _ _ _ 0 _ _ 0 _ _ 0 _ _ 2 _ Dimension 1 _ 1 _ _ 0 _ _ 2 _ _ 0 _ down _ 0 _ _ 3 _ _ 0 _ _ 6 _ _ 0 _ _ 0 _ _ 0 _ _ 0 _ I care about dimension 0 only and don t care about the rest dim 1 Summing this array with the above specifications will collapse the stacks of dimension 1 down to a single 4 x 1 array _ _ _ _ _ _ _ _ _ _ _ _ _ _ 1 _ _ 3 _ _ 2 _ _ 8 _ This can then be summed or have any operation performed I need to do this with an array of n dimensions which could feasibly be 20 Also I need to be able to do this caring about certain dimensions and collapsing the rest I am having an especially hard time with this because I cant visualize 20 dimensions p If anyone could help me set up some c c code to collapse sum I would be very very grateful Update Just got home Here is some info to answer your questions Sorry for rolling back the edits I was hoping when I clicked roll back it would show me the changes so I could see what I messed up a bit like wikipedia This wasn t the case as I found out jeff What doesnt make sense I am using this great service for what I think is a legit reason I want to get better at my hobby which is all it is as I am in high school Many of my posts regard implementing a genetic algorithm This post sparsearray rank an array pointer manipulation I am using a sparse array representation as it is possible to exceed the number of molecules in the universe using a traditional dense array For now the implementation of the sparsearray itself doesnt matter a whole lot as I am working to make it work with a standard array before going to a sparse representation For those who havent seen my previous questions I am using a binary search tree as the structure to contain the sparse array points and a driver function to traverse the tree as necessary returning whatever the function is designed to do This is flexible so I can accomodate a lot of different methods of accessing the array The structure is a hypercube and the number of dimensions is specified at run time as well as the length of each dimension which are all the same as it is a hypercube Thanks everyone for your imput,cpp
I was curious about how other people use the this keyword I tend to use it in constructors but I may also use it throughout the class in other methods Some examples In a constructor public Light Vector v this dir new Vector v Elsewhere public void SomeMethod Vector vec new Vector double d vec vec this radius this radius,csharp
My C program has a list of files that can be dragged from it and dropped into another program My requirements are that the file be copied to a different directory first So can I be notified of the drop operation so that I can only copy the file if operation succeeds I d rather wait till I know it needs to be copied before actually performing the copy Also is it possible to know what program the drop operation is occurring in Ideally I d like to alter the filepath based on who or what its being dropped The solution to this can be in any NET language or C C with COM,csharp
My C program has a list of files that can be dragged from it and dropped into another program My requirements are that the file be copied to a different directory first So can I be notified of the drop operation so that I can only copy the file if operation succeeds I d rather wait till I know it needs to be copied before actually performing the copy Also is it possible to know what program the drop operation is occurring in Ideally I d like to alter the filepath based on who or what its being dropped The solution to this can be in any NET language or C C with COM,csharp
I m using TinyMCE in an ASP Net project and I need a spell check The only TinyMCE plugins I ve found use PHP on the server side and I guess I could just break down and install PHP on my server and do that but quite frankly what a pain I don t want to do that As it turns out Firefox s built in spell check will work fine for me but it doesn t seem to work on TinyMCE editor boxes I ve enabled the gecko_spellcheck option which is supposed to fix it but it doesn t Does anybody know of a nice rich text editor that doesn t break the browser s spell check,javascript
What is the best method to get objects out of a BlockingQueue in a concurrent program without hitting a race condition I m currently doing the following and I m not convinced it is the best method BlockingQueue lt Violation gt vQueue in the constructor I pass in a BlockingQueue object full of violations that need to be processed cut out for brevity Violation v while v vQueue poll 500 TimeUnit MILLISECONDS null do stuff with the violation I have yet to hit a race condition but I m none too sure if this is truly safe,java
